company_name,address,street,business_ownership,business_type,naics_description,sic_description,sales,rent_expenses,sq_footage,latitude,longitude
Helping Hands Credit Repair,1004 5th Ave,5th Avenue,Private,Non-profit,Other Personal Care Services,Credit & Debt Counseling Services,129000,Less than 10k,1500-2499,40.517182,-80.164298
Royal Hands Handyman Svc,1004 5th Ave,5th Avenue,Private,Home Remodel & Repair,Residential Remodelers,Handyman Services,345000,Less than 10k,1-1499,40.517182,-80.164298
T Salvie Photography,1004 5th Ave,5th Avenue,Private,Professional Service & Consulting,"Photography Studios, Portrait",Photographers-Portrait,37000,Less than 10k,1500-2499,40.517182,-80.164298
Anderson Construction-Rmdlng,944 4th Ave # A,4th Avenue,Private,Home Remodel & Repair,Residential Remodelers,Remodeling & Repairing Bldg Contractors,1721000,Less than 10k,1500-2499,40.518318,-80.164385
Computer Investment Advice Inc,505 Mill St # 2,Mill Street,Private,Professional Service & Consulting,Software Publishers,Computer Software,2823000,25k-50k,5000-9999,40.517298,-80.164405
Debenham Media Group,416 Mill St,Mill Street,Private,Professional Service & Consulting,"Software And Other Prerecorded Compact Disc, Tape,",Video Tape Duplication Service,1423000,25k-50k,5000-9999,40.517998,-80.164407
Posh Studio,511 Mill St,Mill Street,Private,Salons & Holistic Wellness Services,Beauty Salons,Beauty Salons,134000,Less than 10k,1-1499,40.517242,-80.164444
Keystone Martial Arts,422 Mill St,Mill Street,Private,Fitness,Sports And Recreation Instruction,Martial Arts Instruction,78000,Less than 10k,1500-2499,40.517871,-80.164495
Snows Polaris-Victory South,931 4th Ave,4th Avenue,Private,Automotive,"Motorcycle, Atv, And All Other Motor Vehicle Deale",Motorcycles & Motor Scooters-Dealers,1290000,10k-25k,1-1499,40.519079,-80.164549
Nira Associates Inc,950 5th Ave,5th Avenue,Private,Professional Service & Consulting,Engineering Services,Engineers-Construction,3752000,100k-250k,20000-39999,40.517372,-80.164734
Nira Consulting Engineers Inc,950 5th Ave,5th Avenue,Private,Professional Service & Consulting,Engineering Services,Engineers-Consulting,6502000,100k-250k,40000-99999,40.517647,-80.164815
ATM,925 4th Ave,4th Avenue,Private,Service Station,Commercial Banking,Automated Teller Machines,0,,,40.51901,-80.164832
PNC Bank,925 4th Ave,4th Avenue,Branch of Public Company,"Financial, Insurance & Notary Services",Commercial Banking,Banks,919000,Less than 10k,1500-2499,40.51901,-80.164832
Coraopolis Floor Covering Inc,941 5th Ave,5th Avenue,Private,Professional Service & Consulting,Tile And Terrazzo Contractors,Tile-Ceramic-Contractors & Dealers,153000,Less than 10k,1-1499,40.517987,-80.164866
Be Active Physical Thrpy,938 4th Ave,4th Avenue,Private,Healthcare,"Offices Of Physical, Occupational And Speech Thera",Physical Therapists,275000,10k-25k,2500-4999,40.518516,-80.164887
Stevens Woodworks,938 4th Ave,4th Avenue,Private,Industry,All Other Miscellaneous Store Retailers (Except To,Wood Products,529000,10k-25k,2500-4999,40.518516,-80.164887
Mobility City,938 4th Ave,4th Avenue,Private,Healthcare,Home Health Equipment Rental,Disabled Persons Equipment & Supplies,283000,10k-25k,2500-4999,40.518516,-80.164887
Sma Cory Pa LLC,1020 State Ave,State Avenue,Private,Real Estate,Lessors Of Residential Buildings And Dwellings,Apartments,535000,10k-25k,5000-9999,40.51657,-80.164918
State Manor Apartments,1020 State Ave,State Avenue,Private,Real Estate,Lessors Of Residential Buildings And Dwellings,Apartments,713000,10k-25k,5000-9999,40.51657,-80.164918
ATM,953 5th Ave,5th Avenue,Private,Service Station,Commercial Banking,Automated Teller Machines,0,,,40.518021,-80.164974
Key Bank,953 5th Ave,5th Avenue,Branch of Public Company,"Financial, Insurance & Notary Services",Commercial Banking,Banks,1149000,10k-25k,2500-4999,40.518021,-80.164974
Patz Legal,939 5th Ave,5th Avenue,Private,Professional Service & Consulting,Offices Of Lawyers,Attorneys,0,,1500-2499,40.518029,-80.164977
Uncle Joe's Scuba,937 5th Ave,5th Avenue,Private,Fitness,Sports And Recreation Instruction,Diving Instruction,156000,Less than 10k,1-1499,40.51806,-80.165057
Irriland Corp,901 2nd Ave,2nd Avenue,Private,Home Remodel & Repair,"Nursery, Garden Center, And Farm Supply Stores",Sprinklers-Garden & Lawn-Retail,1001000,10k-25k,2500-4999,40.520581,-80.165063
N1 Properties LP,1010 State Ave,State Avenue,Private,Professional Service & Consulting,Residential Property Managers,Apartment Finding & Rental Service,427000,Less than 10k,1500-2499,40.516984,-80.165151
Lviv European Kitchen Rstrnt,940 5th Ave,5th Avenue,Private,Restaurants & Taverns,Full-Service Restaurants,Restaurants,203000,10k-25k,1-1499,40.517554,-80.165184
Lviv European Kitchen,940 5th Ave,5th Avenue,Private,Restaurants & Taverns,Caterers,Caterers,254000,10k-25k,1-1499,40.517554,-80.165184
Coraopolis Bike Shop,938 5th Ave,5th Avenue,Private,Retail,Sporting Goods Stores,Bicycles-Dealers,171000,Less than 10k,1-1499,40.517589,-80.165264
Jail House Saloon,929 5th Ave,5th Avenue,Private,Breweries & Distilleries,Drinking Places (Alcoholic Beverages),Bars,234000,10k-25k,1-1499,40.518048,-80.165281
H&R Block,936 5th Ave # 1stfloor,5th Avenue,Branch of Public Company,Professional Service & Consulting,Tax Preparation Services,Tax Return Preparation & Filing,106000,Less than 10k,1500-2499,40.517615,-80.165342
Doney's Auto Tag Svc,922 4th Ave,4th Avenue,Private,Professional Service & Consulting,All Other Support Services,Vehicle & Drivers Licensing Services,43000,Less than 10k,1-1499,40.518697,-80.165363
Frags Tags & Travel,934 5th Ave,5th Avenue,Private,"Financial, Insurance & Notary Services",Offices Of Notaries,Notaries-Public,93000,Less than 10k,1-1499,40.517656,-80.165415
Progressive Printing Inc,916 4th Ave,4th Avenue,Private,Professional Service & Consulting,Commercial Printing (Except Screen And Books),Printers (Mfrs),587000,10k-25k,2500-4999,40.518743,-80.165483
Citywide Wireless,932 5th Ave,5th Avenue,Private,Wireless Telecommunications,Wireless Telecommunications Carriers (Except Satel,Cellular Telephones (Services),852000,Less than 10k,1500-2499,40.517719,-80.165527
Emma Jeans Attic,930 5th Ave,5th Avenue,Private,Retail,Family Clothing Stores,Clothing-Retail,266000,10k-25k,2500-4999,40.517757,-80.165619
Allegheny County Dist Justice,923 5th Ave # 1,5th Avenue,Private,Government Office,Legislative Bodies,Government Offices-County,0,,5000-9999,40.518293,-80.165669
Anthony's Original Inc,923 5th Ave # 5,5th Avenue,Private,Supermarket & Groceries,Fresh Fruit And Vegetable Merchant Wholesalers,Fruits & Vegetables-Wholesale,40514000,50k-100k,40000-99999,40.518293,-80.165669
Penn Tank Lines,865 2nd Ave,2nd Avenue,Private,Industry,"Specialized Freight (Except Used Goods) Trucking,",Trucking,5497000,100k-250k,40000-99999,40.520807,-80.165678
Dollar General,926 5th Ave,5th Avenue,Branch of Public Company,Convenience Stores,All Other General Merchandise Stores,Variety Stores,1011000,25k-50k,5000-9999,40.517767,-80.165691
Off The Hook Exotics Pet Shop,926 5th Ave,5th Avenue,Private,Retail,All Other Animal Production,Reptiles,184000,,1500-2499,40.517767,-80.165691
Western Union Agent Location,926 5th Ave,5th Avenue,Branch of Public Company,"Financial, Insurance & Notary Services","Financial Transactions Processing, Reserve, And Cl",Money Transfer Service,1137000,10k-25k,2500-4999,40.517767,-80.165691
Fastenal,910 4th Ave,4th Avenue,Branch of Public Company,Industry,Industrial Machinery And Equipment Merchant Wholes,Industrial Equipment & Supplies (Whls),2358000,50k-100k,20000-39999,40.518859,-80.165807
Sewickley Savings Bank,901 4th Ave,4th Avenue,Private,"Financial, Insurance & Notary Services",Commercial Banking,Banks,1149000,10k-25k,2500-4999,40.519401,-80.165809
Terry's Auto Detailing,906 4th Ave,4th Avenue,Private,Automotive,Car Washes,Automobile Detail & Clean-Up Service,146000,Less than 10k,1-1499,40.51904,-80.166001
Coraopolis Applaince Repair,909 5th Ave,5th Avenue,Private,Professional Service & Consulting,Appliance Repair And Maintenance,Appliances-Household-Major-Repairing,628000,25k-50k,1500-2499,40.51849,-80.166211
Red China,909 5th Ave,5th Avenue,Private,Restaurants & Taverns,Full-Service Restaurants,Restaurants,51000,Less than 10k,1-1499,40.51849,-80.166211
Atm,879 4th Ave,4th Avenue,Private,Service Station,Commercial Banking,Automated Teller Machines,0,,,40.519651,-80.166301
Fast Stop,879 4th Ave,4th Avenue,Private,Convenience Stores,Convenience Stores,Convenience Stores,1033000,10k-25k,2500-4999,40.519651,-80.166301
USPS,914 5th Ave,5th Avenue,Private,Postal Service,Postal Service,Post Offices,0,,2500-4999,40.517963,-80.16639
A F Paul Co,859 2nd Ave,2nd Avenue,Private,Industry,Machine Shops,Machine Shops (Mfrs),1707000,25k-50k,5000-9999,40.521074,-80.166416
Mark S Saber Dmd,905 5th Ave,5th Avenue,Private,Healthcare,Offices Of Dentists,Dentists,451000,,1-1499,40.518334,-80.16657
Wesbanco Bank,900 5th Ave,5th Avenue,Branch of Public Company,"Financial, Insurance & Notary Services",Commercial Banking,Banks,1609000,10k-25k,2500-4999,40.518136,-80.166574
Back Burner,870 4th Ave,4th Avenue,Private,Restaurants & Taverns,Full-Service Restaurants,Restaurants,406000,10k-25k,2500-4999,40.519346,-80.166736
Tri State Hose & Supply Co,865 4th Ave,4th Avenue,Private,Retail,Industrial Machinery And Equipment Merchant Wholes,Hydraulic Equipment & Supplies (Whls),4716000,10k-25k,1500-2499,40.519861,-80.166842
Professional Pest Control,900 State Ave,State Avenue,Private,Professional Service & Consulting,Exterminating And Pest Control Services,Pest Control,122000,Less than 10k,1-1499,40.517882,-80.166976
Rd Copeland LTD,867 5th Ave,5th Avenue,Private,Life Services,Funeral Homes And Funeral Services,Funeral Directors,1092000,25k-50k,1500-2499,40.518701,-80.167133
ATM,852 5th Ave,5th Avenue,Private,Service Station,Commercial Banking,Automated Teller Machines,0,,,40.518319,-80.167157
Jallad,852 5th Ave,5th Avenue,Private,Convenience Stores,Convenience Stores,Convenience Stores,620000,10k-25k,1500-2499,40.518319,-80.167157
We Buy Any Car,853 4th Ave,4th Avenue,Private,Automotive,Used Car Dealers,Automobile Dealers-Used Cars,1090000,Less than 10k,1500-2499,40.520019,-80.167265
Wen Spa,850 5th Ave # 1,5th Avenue,Private,Salons & Holistic Wellness Services,Fitness And Recreational Sports Centers,Health Spas,200000,Less than 10k,1500-2499,40.518377,-80.167403
Zeke & Son Contractors Inc,865 5th Ave,5th Avenue,Private,Home Remodel & Repair,New Single-Family Housing Construction (Except For,General Contractors,1721000,10k-25k,1500-2499,40.518764,-80.16748
Barto's Lounge,859 5th Ave,5th Avenue,Private,Breweries & Distilleries,Drinking Places (Alcoholic Beverages),Night Clubs,876000,10k-25k,2500-4999,40.51894,-80.16764
Lennon Smith Souleret Engrng,846 4th Ave,4th Avenue,Private,Professional Service & Consulting,Engineering Services,Engineers-Consulting,20006000,500k+,100000+,40.519853,-80.167643
Rakowski Plant Operations,846 4th Ave,4th Avenue,Private,Industry,Industrial And Commercial Fan And Blower And Air P,Fans-Industrial & Commercial-Mfrs,83000,Less than 10k,2500-4999,40.519603,-80.167724
AUGUST Research Systems Inc,845 4th Ave # 5,4th Avenue,Private,Professional Service & Consulting,Marketing Research And Public Opinion Polling,Research Service,0,10k-25k,10000-19999,40.520211,-80.167743
Farmers Insurance,845 4th Ave # 105,4th Avenue,Private,"Financial, Insurance & Notary Services",Insurance Agencies And Brokerages,Insurance,310000,Less than 10k,2500-4999,40.520211,-80.167743
Farmers Insurance-Scott Klbrn,845 4th Ave # 105,4th Avenue,Private,"Financial, Insurance & Notary Services",Insurance Agencies And Brokerages,Insurance,310000,,,40.520211,-80.167743
Hi Way Paving Inc,845 4th Ave # 1,4th Avenue,Private,Professional Service & Consulting,"Highway, Street, And Bridge Construction",Paving Contractors,1054000,Less than 10k,2500-4999,40.520211,-80.167743
Rbs Consultants,845 4th Ave # 2,4th Avenue,Private,Professional Service & Consulting,Engineering Services,Engineers-Consulting,1001000,Less than 10k,2500-4999,40.520211,-80.167743
Sam Auto Mechanic LLC,845 4th Ave,4th Avenue,Private,Automotive,General Automotive Repair,Automobile Repairing & Service,257000,10k-25k,1500-2499,40.520211,-80.167743
Secured Med Waste,845 4th Ave # 3,4th Avenue,Private,Professional Service & Consulting,Other Management Consulting Services,Consultants-Business NEC,261000,Less than 10k,2500-4999,40.520211,-80.167743
West Hills Escape Room,845 4th Ave # 2,4th Avenue,Private,Fitness,All Other Amusement And Recreation Industries,Escape Rooms,1199000,Less than 10k,2500-4999,40.520211,-80.167743
Otto Law Group LLC,842 5th Ave,5th Avenue,Private,Professional Service & Consulting,Offices Of Lawyers,Attorneys,738000,10k-25k,1500-2499,40.518592,-80.167853
Beach Bums,844 4th Ave,4th Avenue,Private,Salons & Holistic Wellness Services,Other Personal Care Services,Tanning Salons,43000,Less than 10k,1-1499,40.519794,-80.168014
Grogan Beverage Distributors,840 4th Ave,4th Avenue,Private,Retail,Beer And Ale Merchant Wholesalers,Beer & Ale-Wholesale,5634000,10k-25k,2500-4999,40.519819,-80.168244
Women In Christian Ministries,832 5th Ave,5th Avenue,Private,Religious Organization,Book Stores,Bibles,229000,Less than 10k,1500-2499,40.518781,-80.168275
Garzony Inc,809 4th Ave,4th Avenue,Private,Home Remodel & Repair,"Automotive Body, Paint, And Interior Repair And Ma",Automobile Body-Repairing & Painting,128000,Less than 10k,1-1499,40.520545,-80.168607
Army National Guard,835 5th Ave,5th Avenue,Private,Government Office,Legislative Bodies,Government Offices-State,0,,10000-19999,40.519538,-80.168803
Commonwealth Of Pennsylvania,835 5th Ave,5th Avenue,Private,Retail,"Beer, Wine, And Liquor Stores",Liquors-Retail,2306000,50k-100k,2500-4999,40.519538,-80.168803
Bubbles On 4th,805 4th Ave,4th Avenue,Private,Life Services,Coin-Operated Laundries And Drycleaners,Laundries-Self Service,213000,Less than 10k,1500-2499,40.520706,-80.169015
Open Arms Healthcare,805 4th Ave,4th Avenue,Private,Healthcare,Home Health Care Services,Home Health Service,389000,Less than 10k,2500-4999,40.520706,-80.169015
Papnnan's,800 4th Ave,4th Avenue,Private,Unclassified,Unclassified Establishments,Nonclassified Establishments,0,,1-1499,40.520508,-80.169678
Coraopolis Garage Door Repair,809 5th Ave,5th Avenue,Private,Home Remodel & Repair,Other Building Material Dealers,Doors-Garage,1329000,10k-25k,2500-4999,40.519886,-80.169793
Lobello's Restaurant,809 5th Ave,5th Avenue,Private,Restaurants & Taverns,Full-Service Restaurants,Restaurants,406000,10k-25k,1500-2499,40.519886,-80.169793
Sauce Pot,807 5th Ave,5th Avenue,Private,Restaurants & Taverns,Full-Service Restaurants,Restaurants,102000,Less than 10k,1-1499,40.519917,-80.169868
Champ Printing Co Inc,730 4th Ave,4th Avenue,Private,Professional Service & Consulting,Commercial Printing (Except Screen And Books),Printers (Mfrs),5867000,50k-100k,20000-39999,40.520494,-80.170131
Klug Plumbing LLC,726 4th Ave,4th Avenue,Private,Home Remodel & Repair,"Plumbing, Heating, And Air-Conditioning Contractor",Plumbing Contractors,457000,Less than 10k,1-1499,40.520584,-80.170323
BCMJ Controls Inc,701 4th Ave,4th Avenue,Private,Industry,Other Electronic Parts And Equipment Merchant Whol,Electronic Equipment & Supplies-Whls,14138000,50k-100k,10000-19999,40.521249,-80.170414
Perpetual Enterprises Inc,701 4th Ave,4th Avenue,Private,Industry,All Other Miscellaneous Manufacturing,Manufacturers,1244000,10k-25k,20000-39999,40.521249,-80.170414
Southbridge Emergency Med Svc,729 5th Ave,5th Avenue,Private,Healthcare,Freestanding Ambulatory Surgical And Emergency Cen,Clinics,1685000,50k-100k,10000-19999,40.520173,-80.170553
Anexquisite Massage,732 5th Ave,5th Avenue,Private,Salons & Holistic Wellness Services,Other Personal Care Services,Massage Therapists,43000,Less than 10k,1-1499,40.519653,-80.170659
C R S,401 Locust St,Locust Street,Private,Unclassified,Unclassified Establishments,Nonclassified Establishments,0,,1500-2499,40.52094,-80.171275
"Muha, Kelly Pt",401 Locust St # 2a,Locust Street,Private,Healthcare,"Offices Of Physical, Occupational And Speech Thera",Physical Therapists,55000,,1500-2499,40.52094,-80.171275
Policastro Construction,401 Locust St,Locust Street,Private,Professional Service & Consulting,Commercial And Institutional Building Construction,Swimming Pool Repair & Service,579000,Less than 10k,1500-2499,40.52094,-80.171275
Aero Tech Designs,705 5th Ave # 1,5th Avenue,Private,Retail,Unclassified Establishments,Nonclassified Establishments,0,,1500-2499,40.52051,-80.171397
Labella Luna,705 5th Ave,5th Avenue,Private,Salons & Holistic Wellness Services,Nail Salons,Manicuring,134000,Less than 10k,1500-2499,40.52051,-80.171397
Station Auto Parts,404 Locust St,Locust Street,Private,Automotive,Automotive Parts And Accessories Stores,Automobile Parts & Supplies-Retail-New,2721000,50k-100k,2500-4999,40.521005,-80.171491
Mike Weisner Auto Repair,415 Locust St,Locust Street,Private,Automotive,General Automotive Repair,Automobile Repairing & Service,129000,Less than 10k,1-1499,40.520671,-80.171506
Phelps Outdoor Power Equipment,641 4th Ave,4th Avenue,Private,Retail,Outdoor Power Equipment Stores,Lawn Mowers,834000,10k-25k,2500-4999,40.521686,-80.171564
Fratangelo Gardens,641 4th Ave,4th Avenue,Private,Home Remodel & Repair,Landscaping Services,Landscape Contractors,548000,Less than 10k,1500-2499,40.521686,-80.171564
Tootsie's Diner,701 5th Ave,5th Avenue,Private,Restaurants & Taverns,Full-Service Restaurants,Restaurants,305000,Less than 10k,1500-2499,40.52053,-80.171603
At Home Senior Svc,643 5th Ave,5th Avenue,Private,Healthcare,Home Health Care Services,Home Health Service,3053000,50k-100k,20000-39999,40.520658,-80.171819
Caregogi,643 5th Ave,5th Avenue,Private,Healthcare,Home Health Care Services,Home Health Service,611000,10k-25k,5000-9999,40.520658,-80.171819
Capri Glass Inc,700 5th Ave,5th Avenue,Private,Professional Service & Consulting,Other Building Material Dealers,Shower Doors & Enclosures,997000,10k-25k,1500-2499,40.520137,-80.171884
Arena Painting Inc,628 5th Ave,5th Avenue,Private,Professional Service & Consulting,Painting And Wall Covering Contractors,Painting Contractors-Commercial & Ind,306000,Less than 10k,1-1499,40.520461,-80.172654
Affordable Car & Truck Sales,601 4th Ave,4th Avenue,Private,Automotive,Used Car Dealers,Automobile Dealers-Used Cars,1090000,Less than 10k,1500-2499,40.52211,-80.172692
Ccrs Holdings LLC,601 4th Ave,4th Avenue,Private,"Financial, Insurance & Notary Services",Offices Of Other Holding Companies,Holding Companies (Non-Bank),3620000,,10000-19999,40.52211,-80.172692
Coraopolis Collision & Repair,601 4th Ave,4th Avenue,Private,Home Remodel & Repair,"Automotive Body, Paint, And Interior Repair And Ma",Automobile Body-Repairing & Painting,1144000,25k-50k,2500-4999,40.52211,-80.172692
Choices Pregnancy Svc,626 5th Ave # 1,5th Avenue,Private,Healthcare,Family Planning Centers,Pregnancy Counseling Svc & Information,1102000,25k-50k,40000-99999,40.52051,-80.172779
Applytech,615 5th Ave # 101,5th Avenue,Private,Industry,Other Miscellaneous Durable Goods Merchant Wholesa,Manufacturers-Agents & Representatives,5505000,25k-50k,10000-19999,40.521096,-80.172929
Christopher Connolly,615 5th Ave,5th Avenue,Private,Professional Service & Consulting,Commercial Printing (Except Screen And Books),Printers (Mfrs),587000,Less than 10k,5000-9999,40.521096,-80.172929
"Hoover, Paul M MD",615 5th Ave # 201,5th Avenue,Private,Healthcare,Offices Of Physicians (Except Mental Health Specia,Physicians & Surgeons,506000,,2500-4999,40.521096,-80.172929
Imperial Trading LLC,615 5th Ave,5th Avenue,Private,Unclassified,Unclassified Establishments,Nonclassified Establishments,0,,2500-4999,40.521096,-80.172929
Re/Max,615 5th Ave,5th Avenue,Branch of Public Company,Real Estate,Offices Of Real Estate Agents And Brokers,Real Estate,1387000,50k-100k,20000-39999,40.521096,-80.172929
UTC Overseas Inc,615 5th Ave # 301,5th Avenue,Private,Professional Service & Consulting,Freight Transportation Arrangement,Freight-Forwarding,1920000,50k-100k,20000-39999,40.521096,-80.172929
Visimo LLC,615 5th Ave # 202,5th Avenue,Private,Professional Service & Consulting,Unclassified Establishments,Federal Government Contractors,0,,20000-39999,40.521096,-80.172929
Allstate Insurance-Mario De,614 5th Ave # S102,5th Avenue,Branch of Public Company,"Financial, Insurance & Notary Services",Insurance Agencies And Brokerages,Insurance,465000,Less than 10k,2500-4999,40.520699,-80.173251
Dennis Piper & Assoc,614 5th Ave,5th Avenue,Private,"Financial, Insurance & Notary Services",Investment Advice,Financing Consultants,647000,Less than 10k,2500-4999,40.520699,-80.173251
Depasquale Agency,614 5th Ave,5th Avenue,Private,"Financial, Insurance & Notary Services",Insurance Agencies And Brokerages,Insurance,619000,Less than 10k,2500-4999,40.520699,-80.173251
Gotto Electric LLC,614 5th Ave,5th Avenue,Private,Professional Service & Consulting,Electrical Contractors And Other Wiring Installati,Electric Contractors,762000,Less than 10k,2500-4999,40.520699,-80.173251
Studio 84,614 5th Ave,5th Avenue,Private,Professional Service & Consulting,Sound Recording Studios,Recording Studios,185000,Less than 10k,2500-4999,40.520699,-80.173251
Dairy Queen,507 5th Ave,5th Avenue,Branch of Public Company,Retail,Snack And Nonalcoholic Beverage Bars,Ice Cream Parlors,305000,10k-25k,2500-4999,40.5219,-80.174876
Squeegee Pro LLC,414 5th Ave,5th Avenue,Private,Home Remodel & Repair,All Other Specialty Trade Contractors,Window Cleaning,428000,Less than 10k,1-1499,40.522239,-80.176771
C J Liller Painting,410 5th Ave,5th Avenue,Private,Professional Service & Consulting,Painting And Wall Covering Contractors,Painters,612000,Less than 10k,1-1499,40.522321,-80.176966
Total Equipment Co,400 5th Ave,5th Avenue,Private,Industry,Commercial And Industrial Machinery And Equipment,Pumps-Repairing,0,,1-1499,40.522793,-80.177175
Bella Bambini Cellos,1042 5th Ave,5th Avenue,Private,Breweries & Distilleries,Distilleries,Distillers (Mfrs),6433000,10k-25k,2500-4999,40.5065,-80.1902
Brodhead Landscaping Supply,501 4th Ave,4th Avenue,Private,Professional Service & Consulting,Landscaping Services,Landscape Contractors,548000,Less than 10k,1500-2499,40.5065,-80.1902
Charis 247 Community Church,1321 State Ave,State Avenue,Private,Religious Organization,Religious Organizations,Churches,0,,1500-2499,40.5065,-80.1902
Fratangelo Gardens,501 4th Ave,4th Avenue,Private,Home Remodel & Repair,Landscaping Services,Landscape Contractors,110000,Less than 10k,1-1499,40.5065,-80.1902
St Joseph Church,1301 5th Ave,5th Avenue,Private,Religious Organization,Religious Organizations,Churches,0,,2500-4999,40.5065,-80.1902